key,K-12,Undergraduate,Graduate,Non CS Students,Educators,Race,Gender,Learning/Grades,Perception of intervention (by student),Perception of self/field (by student),Perception by faculty/staff,Workload,Grad School Intentions/Interest,Outcomes,Deep Feedback,Reading,Writing,Protocols,Administering,Data,Tools,Group
10.1145/1352135.1352293,,X,,,,,,,X,X,,,,,X,,,,,,X,
10.1145/1562877.1562916,,X,,,,,,,X,,,,,,X,X,,X,X,X,,X
10.1145/1953163.1953185,X,X,,X,,,,,X,,,,,X,,,,,,,X,X
10.1145/1953163.1953324,,X,X,,,,,,X,X,,,,,,,,,,,,X
10.1145/1999747.1999828,,X,,,,,,,X,X,,X,,,X,X,X,,,,,X
10.1145/2445196.2445249,,X,,X,X,,,,,X,X,,,,X,,,,,,,
10.1145/2462476.2465588,,X,X,,,,,,X,X,,,,X,,,,,,X,X,X
10.1145/2538862.2538927,,X,,,X,,,X,X,X,,,,,X,X,X,X,X,X,,
10.1145/2676723.2677231,,X,,,,,,,,,,,,X,,,,,,X,,
10.1145/2676723.2677266,,X,,X,,X,X,,X,X,,,,,X,,,,,,,
10.1145/2839509.2844573,,X,,,,X,X,,X,X,X,,X,,X,,,,,,,
10.1145/2899415.2899436,,X,,,,X,X,,X,X,,X,,,X,X,X,X,,X,,X
10.1145/3159450.3159472,,X,,,,X,X,,X,X,,,,,,,,,,,,
10.1145/3159450.3159510,,X,,,,X,X,,X,X,,,,,,,,,,,,
10.1145/3159450.3159537,,X,,X,,,,,,X,,,,,X,,,,,,X,X
10.1145/3197091.3197131,,,X,,,,,,X,,,,,,,X,X,X,,X,,X
10.1145/3287324.3287501,,X,X,,X,,,,X,,,,,X,X,,X,,,,,
10.1145/3291279.3339406,,X,,,,,,,,X,,,,X,,,,,,,,X
10.1145/3408877.3432364,,X,,,,,,,X,,,,,,X,,,,,,,
10.1145/3408877.3432523,,X,,,,X,X,,X,X,,,,,X,,,,X,X,,
10.1145/3408877.3432547,,X,,,,X,X,,X,X,,,,,X,X,,,X,X,X,X
10.1145/3478431.3499283,,X,,,,,,,X,,X,,,,X,X,,,,X,,X
10.1145/3501385.3543959,,X,,,,X,X,,,X,,,,,X,,,,,,,X
10.1145/3501385.3543976,,X,,X,,,,,X,X,X,X,,,,,,,,,,
10.1145/3545945.3569858,,,X,X,,,,,X,X,X,,,X,X,X,X,X,,X,X,X
10.1145/3626252.3630765,,X,,,,X,X,X,,,,,,X,,X,,X,,X,,X